Graph,Vertices,Edges,Prim Cost,Kruskal Cost,Prim Ops,Kruskal Ops,Prim Time (ms),Kruskal Time (ms)
1,4,4,10,10,20,15,0,014,0,027
2,10,14,34,34,150,51,0,015,0,025
3,25,38,97,97,983,138,0,083,0,055
